,DATE,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,COMPANY
339,2019-03-26,17.63,18.02,17.63,17.85,17.85,110263500,TESLA
340,2019-03-27,17.92,18.36,17.88,18.32,18.32,131688000,TESLA
341,2019-03-27,89.21,89.38,87.28,88.29,88.29,86496000,AMAZON
342,2019-03-27,167.85,168.94,164.79,165.87,165.87,10620300,META
343,2019-03-27,47.19,47.44,46.64,47.12,45.42,119393600,APPLE
344,2019-03-28,47.24,47.39,46.88,47.18,45.48,83121600,APPLE
345,2019-03-28,88.5,88.9,87.67,88.67,88.67,60860000,AMAZON
346,2019-03-28,18.48,18.69,18.34,18.57,18.57,101611500,TESLA
347,2019-03-28,164.57,166.72,163.33,165.55,165.55,10443000,META
348,2019-03-29,89.33,89.64,88.83,89.04,89.04,66416000,AMAZON
349,2019-03-29,18.58,18.68,18.3,18.66,18.66,89869500,TESLA
350,2019-03-29,47.46,47.52,47.13,47.49,45.77,94256000,APPLE
351,2019-03-29,166.39,167.19,164.81,166.69,166.69,13455500,META
352,2019-04-01,167.83,168.9,167.28,168.7,168.7,10381500,META
353,2019-04-01,90.01,90.78,89.94,90.71,90.71,84776000,AMAZON
354,2019-04-01,18.84,19.28,18.75,19.28,19.28,121656000,TESLA
355,2019-04-01,47.91,47.92,47.1,47.81,46.09,111448000,APPLE
356,2019-04-02,47.77,48.62,47.76,48.51,46.76,91062800,APPLE
357,2019-04-02,19.22,19.3,18.93,19.06,19.06,82183500,TESLA
358,2019-04-02,90.55,91.0,90.26,90.7,90.7,68962000,AMAZON
359,2019-04-02,170.14,174.9,169.55,174.2,174.2,23946500,META
360,2019-04-03,48.31,49.12,48.29,48.84,47.08,93087200,APPLE
361,2019-04-03,174.5,177.96,172.95,173.54,173.54,27391100,META
362,2019-04-03,91.34,91.5,90.48,91.04,91.04,78522000,AMAZON
363,2019-04-03,19.15,19.74,19.14,19.45,19.45,118791000,TESLA
364,2019-04-04,17.46,18.08,17.37,17.85,17.85,355810500,TESLA
365,2019-04-04,48.7,49.09,48.28,48.92,47.16,76457200,APPLE
